  JULDAY,    TIME,   TALOC,   TAREF,   RHLOC,      RH,    VLOC,    VREF,      TS,      T2,   TDEEP,     ZEN,    SOLR,   TSKYC,     DEW,   FROST,SNOWFALL, SNOWDEP
196.,1080.00, 22.84, 20.45, 51.41, 59.49,  0.830,  3.779, 26.82, 29.64,  7.74 , 75.42, 139.43,   7.76,0.,0.,   0.00, 399.00
196.,1140.00, 19.11, 18.19, 58.24, 61.70,  0.830,  3.783, 20.64, 24.55,  7.74 , 85.64,  29.75,   4.98,0.,0.,   0.00, 399.00
196.,1200.00, 17.42, 17.12, 62.73, 63.91,  0.831,  3.786, 17.91, 21.49,  7.74 , 90.00,   0.16,   3.79,0.,0.,   0.00, 399.00
196.,1260.00, 16.77, 16.58, 65.31, 66.12,  0.832,  3.790, 17.10, 20.10,  7.74 , 90.00,   0.00,   3.29,0.,0.,   0.00, 399.00
196.,1320.00, 16.31, 16.19, 67.83, 68.33,  0.833,  3.793, 16.50, 19.33,  7.74 , 90.00,   0.00,   2.98,0.,0.,   0.00, 399.00
196.,1380.00, 16.01, 15.91, 70.10, 70.54,  0.833,  3.797, 16.17, 18.75,  7.74 , 90.00,   0.00,   2.80,0.,0.,   0.00, 399.00
227.,   0.00, 14.19, 14.22, 73.77, 73.65,  0.812,  3.700, 14.15, 16.27,  7.74 , 90.00,   0.00,   1.05,0.,0.,   0.00, 399.00
227.,  60.00, 14.11, 14.07, 78.48, 78.72,  0.814,  3.709, 14.19, 15.94,  7.74 , 90.00,   0.00,   1.25,0.,0.,   0.00, 399.00
227., 120.00, 13.92, 13.95, 83.94, 83.79,  0.816,  3.718, 13.88, 15.73,  7.74 , 90.00,   0.00,   1.47,0.,0.,   0.00, 399.00
227., 180.00, 13.83, 13.86, 89.08, 88.86,  0.818,  3.727, 13.76, 15.55,  7.74 , 90.00,   0.00,   1.71,0.,0.,   0.00, 399.00
227., 240.00, 13.78, 13.80, 94.05, 93.94,  0.820,  3.737, 13.75, 15.40,  7.74 , 90.00,   0.00,   1.96,0.,0.,   0.00, 399.00
227., 300.00, 14.10, 13.75, 97.01, 99.26,  0.820,  3.737, 14.69, 15.34,  7.74 , 90.00,   8.90,   2.23,0.,0.,   0.00, 399.00
227., 360.00, 14.95, 14.09, 93.89, 99.26,  0.818,  3.728, 16.38, 16.68,  7.74 , 80.32,  77.34,   2.69,0.,0.,   0.00, 399.00
227., 420.00, 18.04, 15.59, 77.98, 91.09,  0.816,  3.719, 22.09, 20.20,  7.74 , 69.43, 215.07,   4.15,0.,0.,   0.00, 399.00
227., 480.00, 22.12, 17.87, 63.40, 82.48,  0.814,  3.710, 29.14, 25.26,  7.74 , 58.53, 360.41,   6.56,0.,0.,   0.00, 399.00
227., 540.00, 26.43, 20.58, 51.92, 73.87,  0.812,  3.700, 36.08, 30.71,  7.74 , 48.03, 486.56,   9.47,0.,0.,   0.00, 399.00
227., 600.00, 30.50, 23.30, 42.73, 65.26,  0.810,  3.691, 42.39, 35.81,  7.74 , 38.62, 585.37,  12.28,0.,0.,   0.00, 399.00
227., 660.00, 33.58, 25.61, 30.36, 48.04,  0.808,  3.682, 46.71, 39.89,  7.74 , 31.57, 646.00,  13.38,0.,0.,   0.00, 399.00
227., 720.00, 35.62, 27.16, 29.70, 48.04,  0.804,  3.663, 49.54, 42.69,  7.74 , 28.82, 668.08,  15.41,0.,0.,   0.00, 399.00
227., 780.00, 36.10, 27.70, 31.19, 50.17,  0.804,  3.663, 49.91, 43.88,  7.74 , 31.57, 645.83,  16.40,0.,0.,   0.00, 399.00
227., 840.00, 34.97, 27.16, 33.52, 52.31,  0.805,  3.666, 47.82, 43.22,  7.74 , 38.62, 586.27,  15.95,0.,0.,   0.00, 399.00
227., 900.00, 32.34, 25.61, 36.89, 54.44,  0.806,  3.670, 43.42, 40.69,  7.74 , 48.03, 487.69,  14.17,0.,0.,   0.00, 399.00
227., 960.00, 28.51, 23.30, 41.55, 56.57,  0.806,  3.673, 37.10, 36.55,  7.74 , 58.53, 361.52,  11.38,0.,0.,   0.00, 399.00
227.,1020.00, 23.87, 20.58, 48.06, 58.71,  0.807,  3.676, 29.28, 31.23,  7.74 , 69.43, 215.90,   8.03,0.,0.,   0.00, 399.00
227.,1080.00, 19.45, 17.87, 55.13, 60.84,  0.808,  3.680, 22.04, 25.44,  7.74 , 80.32,  77.70,   4.70,0.,0.,   0.00, 399.00
227.,1140.00, 16.67, 16.19, 61.06, 62.98,  0.808,  3.683, 17.47, 21.14,  7.74 , 90.00,   8.94,   2.70,0.,0.,   0.00, 399.00
227.,1200.00, 15.70, 15.54, 64.44, 65.11,  0.809,  3.687, 15.97, 19.04,  7.74 , 90.00,   0.00,   2.05,0.,0.,   0.00, 399.00
227.,1260.00, 15.20, 15.06, 66.65, 67.25,  0.810,  3.690, 15.43, 18.02,  7.74 , 90.00,   0.00,   1.61,0.,0.,   0.00, 399.00
227.,1320.00, 14.74, 14.70, 69.17, 69.38,  0.811,  3.693, 14.82, 17.35,  7.74 , 90.00,   0.00,   1.32,0.,0.,   0.00, 399.00
227.,1380.00, 14.49, 14.42, 71.20, 71.52,  0.811,  3.697, 14.61, 16.81,  7.74 , 90.00,   0.00,   1.15,0.,0.,   0.00, 399.00
258.,   0.00,  9.47,  9.60, 74.45, 73.80,  0.878,  4.000,  9.25, 11.03,  7.74 , 90.00,   0.00,  -4.28,0.,0.,   0.00, 399.00
258.,  60.00,  9.32,  9.44, 79.08, 78.45,  0.880,  4.009,  9.12, 10.75,  7.74 , 90.00,   0.00,  -4.17,0.,0.,   0.00, 399.00
258., 120.00,  9.18,  9.31, 83.83, 83.09,  0.882,  4.018,  8.96, 10.54,  7.74 , 90.00,   0.00,  -4.03,0.,0.,   0.00, 399.00
258., 180.00,  9.10,  9.22, 88.46, 87.74,  0.884,  4.027,  8.89, 10.37,  7.74 , 90.00,   0.00,  -3.86,0.,0.,   0.00, 399.00
258., 240.00,  9.03,  9.14, 93.12, 92.39,  0.887,  4.040,  8.83, 10.23,  7.74 , 90.00,   0.00,  -3.68,0.,0.,   0.00, 399.00
258., 300.00,  8.97,  9.09,100.00, 99.26,  0.888,  4.045,  8.78, 10.13,  7.74 , 90.00,   0.00,  -3.38,0.,0.,   0.00, 399.00
258., 360.00,  9.17,  9.07, 98.57, 99.26,  0.886,  4.034,  9.35, 10.17,  7.74 , 87.79,  10.58,  -3.39,0.,0.,   0.00, 399.00
258., 420.00, 11.35, 10.31, 88.11, 94.45,  0.883,  4.024, 13.13, 12.38,  7.74 , 76.86, 115.18,  -2.08,0.,0.,   0.00, 399.00
258., 480.00, 15.02, 12.54, 72.53, 85.23,  0.881,  4.013, 19.24, 16.55,  7.74 , 66.22, 244.80,   0.24,0.,0.,   0.00, 399.00
258., 540.00, 19.31, 15.38, 59.30, 76.01,  0.879,  4.003, 25.98, 21.54,  7.74 , 56.34, 366.21,   3.27,0.,0.,   0.00, 399.00
258., 600.00, 23.44, 18.35, 48.84, 66.78,  0.876,  3.992, 32.08, 26.66,  7.74 , 47.92, 471.11,   6.37,0.,0.,   0.00, 399.00
258., 660.00, 26.90, 20.93, 33.76, 48.34,  0.874,  3.981, 37.04, 30.81,  7.74 , 42.01, 532.83,   7.87,0.,0.,   0.00, 399.00
258., 720.00, 29.08, 22.68, 33.09, 48.34,  0.869,  3.960, 39.92, 33.70,  7.74 , 39.83, 554.54,  10.10,0.,0.,   0.00, 399.00
258., 780.00, 29.61, 23.30, 34.78, 50.46,  0.869,  3.960, 40.30, 34.92,  7.74 , 42.01, 532.67,  11.13,0.,0.,   0.00, 399.00
258., 840.00, 28.45, 22.68, 37.33, 52.58,  0.870,  3.964, 38.23, 34.23,  7.74 , 47.92, 472.10,  10.57,0.,0.,   0.00, 399.00
258., 900.00, 25.58, 20.93, 41.30, 54.70,  0.871,  3.967, 33.47, 31.53,  7.74 , 56.34, 367.35,   8.56,0.,0.,   0.00, 399.00
258., 960.00, 21.61, 18.35, 46.44, 56.83,  0.872,  3.971, 27.13, 27.32,  7.74 , 66.22, 245.83,   5.47,0.,0.,   0.00, 399.00
258.,1020.00, 17.13, 15.38, 52.74, 58.95,  0.872,  3.975, 20.08, 22.17,  7.74 , 76.86, 115.79,   1.89,0.,0.,   0.00, 399.00
258.,1080.00, 12.93, 12.54, 59.53, 61.07,  0.873,  3.978, 13.59, 17.11,  7.74 , 87.79,  10.64,  -1.54,0.,0.,   0.00, 399.00
258.,1140.00, 11.58, 11.54, 62.99, 63.19,  0.874,  3.982, 11.67, 14.40,  7.74 , 90.00,   0.00,  -2.63,0.,0.,   0.00, 399.00
258.,1200.00, 11.11, 10.92, 64.52, 65.31,  0.875,  3.985, 11.42, 13.18,  7.74 , 90.00,   0.00,  -3.24,0.,0.,   0.00, 399.00
258.,1260.00, 10.39, 10.45, 67.72, 67.43,  0.876,  3.989, 10.29, 12.50,  7.74 , 90.00,   0.00,  -3.67,0.,0.,   0.00, 399.00
258.,1320.00, 10.02, 10.09, 69.91, 69.56,  0.876,  3.993,  9.89, 11.93,  7.74 , 90.00,   0.00,  -3.97,0.,0.,   0.00, 399.00
258.,1380.00,  9.71,  9.82, 72.18, 71.68,  0.877,  3.996,  9.54, 11.49,  7.74 , 90.00,   0.00,  -4.16,0.,0.,   0.00, 399.00
288.,   0.00,  3.61,  3.83, 73.62, 72.50,  1.010,  4.600,  3.22,  4.57,  7.74 , 90.00,   0.00, -10.83,0.,0.,   0.00, 399.00
288.,  60.00,  3.43,  3.66, 77.99, 76.74,  1.012,  4.609,  3.02,  4.34,  7.74 , 90.00,   0.00, -10.78,0.,0.,   0.00, 399.00
288., 120.00,  3.31,  3.52, 82.21, 80.98,  1.014,  4.617,  2.92,  4.16,  7.74 , 90.00,   0.00, -10.71,0.,0.,   0.00, 399.00
288., 180.00,  3.19,  3.42, 86.56, 85.22,  1.015,  4.626,  2.80,  4.01,  7.74 , 90.00,   0.00, -10.61,0.,0.,   0.00, 399.00
288., 240.00,  3.13,  3.33, 90.74, 89.46,  1.017,  4.635,  2.77,  3.87,  7.74 , 90.00,   0.00, -10.49,0.,0.,   0.00, 399.00
288., 300.00,  3.06,  3.26, 95.06, 93.70,  1.020,  4.646,  2.69,  3.77,  7.74 , 90.00,   0.00, -10.37,0.,0.,   0.00, 399.00
288., 360.00,  3.05,  3.21,100.00, 99.28,  1.021,  4.650,  2.76,  3.68,  7.74 , 90.00,   0.07, -10.17,0.,0.,   0.00, 399.00
288., 420.00,  3.45,  3.35, 98.55, 99.28,  1.018,  4.637,  3.64,  4.16,  7.74 , 84.96,  32.03,  -9.99,0.,0.,   0.00, 399.00
288., 480.00,  6.06,  5.02, 85.11, 91.45,  1.015,  4.623,  7.91,  6.62,  7.74 , 74.80, 134.91,  -8.29,0.,0.,   0.00, 399.00
288., 540.00,  9.83,  7.73, 69.42, 80.02,  1.012,  4.609, 13.60, 10.60,  7.74 , 65.68, 243.08,  -5.54,0.,0.,   0.00, 399.00
288., 600.00, 14.00, 10.89, 55.92, 68.59,  1.009,  4.595, 19.56, 15.12,  7.74 , 58.22, 339.91,  -2.34,0.,0.,   0.00, 399.00
288., 660.00, 17.46, 13.81, 36.19, 45.72,  1.006,  4.582, 24.00, 18.98,  7.74 , 53.21, 391.80,  -0.64,0.,0.,   0.00, 399.00
288., 720.00, 19.88, 15.86, 35.51, 45.72,  1.000,  4.554, 27.04, 21.86,  7.74 , 51.42, 417.60,   1.89,0.,0.,   0.00, 399.00
288., 780.00, 20.48, 16.60, 37.60, 47.96,  1.000,  4.554, 27.42, 23.07,  7.74 , 53.21, 391.66,   3.03,0.,0.,   0.00, 399.00
288., 840.00, 19.35, 15.86, 40.28, 50.19,  1.001,  4.558, 25.57, 22.46,  7.74 , 58.22, 340.95,   2.33,0.,0.,   0.00, 399.00
288., 900.00, 16.40, 13.81, 44.37, 52.42,  1.001,  4.562, 21.03, 19.88,  7.74 , 65.68, 244.20,   0.00,0.,0.,   0.00, 399.00
288., 960.00, 12.40, 10.89, 49.44, 54.65,  1.002,  4.567, 15.11, 15.87,  7.74 , 74.80, 135.75,  -3.41,0.,0.,   0.00, 399.00
288.,1020.00,  8.12,  7.73, 55.39, 56.88,  1.003,  4.571,  8.82, 11.31,  7.74 , 84.96,  32.27,  -7.11,0.,0.,   0.00, 399.00
288.,1080.00,  6.23,  6.30, 59.39, 59.11,  1.004,  4.575,  6.11,  8.32,  7.74 , 90.00,   0.07,  -8.71,0.,0.,   0.00, 399.00
288.,1140.00,  5.46,  5.62, 62.03, 61.34,  1.005,  4.579,  5.17,  7.01,  7.74 , 90.00,   0.00,  -9.37,0.,0.,   0.00, 399.00
288.,1200.00,  4.90,  5.08, 64.37, 63.57,  1.006,  4.583,  4.58,  6.28,  7.74 , 90.00,   0.00,  -9.87,0.,0.,   0.00, 399.00
288.,1260.00,  4.51,  4.65, 66.45, 65.81,  1.007,  4.587,  4.27,  5.71,  7.74 , 90.00,   0.00, -10.25,0.,0.,   0.00, 399.00
288.,1320.00,  4.11,  4.31, 69.00, 68.04,  1.008,  4.592,  3.76,  5.28,  7.74 , 90.00,   0.00, -10.52,0.,0.,   0.00, 399.00
288.,1380.00,  4.08,  4.04, 70.09, 70.27,  1.009,  4.596,  4.15,  4.85,  7.74 , 90.00,   0.00, -10.70,0.,0.,   0.00, 399.00
319.,   0.00, -2.45, -2.36, 76.24, 75.65,  1.076,  4.900, -2.62, -1.97,  7.74 , 90.00,   0.00, -16.06,0.,0., 312.98, 711.99
319.,  60.00, -2.70, -2.51, 80.22, 78.96,  1.077,  4.908, -3.05, -2.04,  7.74 , 90.00,   0.00, -16.10,0.,0.,   0.00, 711.99
319., 120.00, -2.90, -2.64, 84.13, 82.27,  1.079,  4.916, -3.39, -2.10,  7.74 , 90.00,   0.00, -16.11,0.,0.,   0.00, 711.99
319., 180.00, -2.92, -2.74, 86.83, 85.58,  1.081,  4.924, -3.23, -2.19,  7.74 , 90.00,   0.00, -16.11,0.,0.,   0.00, 711.99
319., 240.00, -3.01, -2.83, 90.28, 88.90,  1.083,  4.932, -3.35, -2.24,  7.74 , 90.00,   0.00, -16.08,0.,0.,   0.00, 711.99
319., 300.00, -3.05, -2.90, 93.44, 92.21,  1.084,  4.940, -3.34, -2.29,  7.74 , 90.00,   0.00, -16.04,0.,0.,   0.00, 711.99
319., 360.00, -3.24, -2.95, 97.83, 95.52,  1.086,  4.949, -3.76, -2.28,  7.74 , 90.00,   0.00, -15.99,0.,0.,   0.00, 711.99
319., 420.00, -3.14, -3.00,100.00, 99.24,  1.087,  4.951, -3.41, -2.35,  7.74 , 90.00,   2.19, -15.91,0.,0.,   0.00, 711.99
319., 480.00, -2.69, -2.61, 99.90, 99.24,  1.083,  4.934, -2.83, -2.14,  7.74 , 82.47,  45.62, -15.44,0.,0.,   0.00, 711.99
319., 540.00, -0.83, -0.66, 89.81, 88.58,  1.079,  4.918, -1.13, -1.09,  7.74 , 74.06, 128.61, -13.51,0.,0.,   0.00, 711.99
319., 600.00,  1.93,  2.12, 77.45, 76.41,  1.076,  4.901,  1.58,  0.59,  7.74 , 67.37, 199.27, -10.76,0.,0.,   0.00, 711.99
319., 660.00,  4.61,  4.94, 53.27, 52.06,  1.072,  4.884,  4.01,  2.40,  7.74 , 63.00, 249.13,  -8.78,0.,0.,   0.00, 711.99
319., 720.00,  6.59,  7.03, 53.67, 52.06,  1.065,  4.851,  5.77,  3.93,  7.74 , 61.47, 270.78,  -6.36,0.,0.,   0.00, 711.99
319., 780.00,  7.44,  7.80, 55.36, 54.02,  1.065,  4.851,  6.79,  4.67,  7.74 , 63.00, 249.00,  -5.34,0.,0.,   0.00, 711.99
319., 840.00,  6.71,  7.03, 57.23, 55.99,  1.066,  4.855,  6.13,  4.45,  7.74 , 67.37, 200.37,  -6.11,0.,0.,   0.00, 711.99
319., 900.00,  4.66,  4.94, 59.10, 57.95,  1.067,  4.860,  4.15,  3.30,  7.74 , 74.06, 129.69,  -8.41,0.,0.,   0.00, 711.99
319., 960.00,  1.85,  2.12, 61.08, 59.92,  1.068,  4.864,  1.36,  1.53,  7.74 , 82.47,  46.13, -11.58,0.,0.,   0.00, 711.99
319.,1020.00,  0.07,  0.34, 63.08, 61.89,  1.069,  4.869, -0.41,  0.08,  7.74 , 90.00,   2.21, -13.53,0.,0.,   0.00, 711.99
319.,1080.00, -0.56, -0.32, 65.18, 63.85,  1.070,  4.873, -1.02, -0.61,  7.74 , 90.00,   0.00, -14.20,0.,0.,   0.00, 711.99
319.,1140.00, -1.11, -0.85, 67.27, 65.82,  1.071,  4.878, -1.60, -0.97,  7.74 , 90.00,   0.00, -14.73,0.,0.,   0.00, 711.99
319.,1200.00, -1.31, -1.29, 67.93, 67.79,  1.072,  4.882, -1.36, -1.33,  7.74 , 90.00,   0.00, -15.15,0.,0.,   0.00, 711.99
319.,1260.00, -1.87, -1.64, 71.12, 69.75,  1.073,  4.887, -2.30, -1.50,  7.74 , 90.00,   0.00, -15.48,0.,0.,   0.00, 711.99
319.,1320.00, -2.13, -1.93, 72.95, 71.72,  1.074,  4.891, -2.51, -1.70,  7.74 , 90.00,   0.00, -15.73,0.,0.,   0.00, 711.99
319.,1380.00, -2.38, -2.16, 75.00, 73.68,  1.075,  4.896, -2.77, -1.86,  7.74 , 90.00,   0.00, -15.92,0.,0.,   0.00, 711.99
349.,   0.00,-10.04, -9.76, 78.31, 76.40,  1.054,  4.800,-10.55, -9.73,  7.74 , 90.00,   0.00, -24.98,0.,0.,*******,   0.00
349.,  60.00, -9.94, -9.91, 79.67, 79.51,  1.055,  4.808, -9.98, -9.97,  7.74 , 90.00,   0.00, -25.03,0.,0.,   0.00,   0.00
349., 120.00,-10.31,-10.04, 84.66, 82.62,  1.057,  4.815,-10.81,-10.04,  7.74 , 90.00,   0.00, -25.06,0.,0.,   0.00,   0.00
349., 180.00,-10.49,-10.14, 88.43, 85.72,  1.059,  4.823,-11.13,-10.14,  7.74 , 90.00,   0.00, -25.05,0.,0.,   0.00,   0.00
349., 240.00,-10.49,-10.22, 91.00, 88.83,  1.060,  4.830,-10.99,-10.26,  7.74 , 90.00,   0.00, -25.04,0.,0.,   0.00,   0.00
349., 300.00,-10.48,-10.29, 93.53, 91.94,  1.062,  4.838,-10.83,-10.37,  7.74 , 90.00,   0.00, -25.00,0.,0.,   0.00,   0.00
349., 360.00,-10.61,-10.35, 97.34, 95.05,  1.064,  4.848,-11.10,-10.42,  7.74 , 90.00,   0.00, -24.96,0.,0.,   0.00,   0.00
349., 420.00,-10.74,-10.39,100.00, 99.24,  1.065,  4.854,-11.37,-10.45,  7.74 , 90.00,   0.08, -24.87,0.,0.,   0.00,   0.00
349., 480.00,-10.34,-10.27, 99.90, 99.24,  1.062,  4.837,-10.48,-10.16,  7.74 , 86.22,  21.36, -24.70,0.,0.,   0.00,   0.00
349., 540.00, -8.14, -8.60, 87.53, 91.08,  1.058,  4.820, -7.32, -8.38,  7.74 , 78.17,  86.49, -23.03,0.,0.,   0.00,   0.00
349., 600.00, -4.93, -5.99, 71.74, 78.57,  1.054,  4.803, -3.00, -5.39,  7.74 , 71.84, 156.18, -20.44,0.,0.,   0.00,   0.00
349., 660.00, -1.73, -3.24, 47.21, 53.56,  1.051,  4.786,  1.00, -2.28,  7.74 , 67.75, 203.31, -18.44,0.,0.,   0.00,   0.00
349., 720.00,  0.49, -1.17, 46.94, 53.56,  1.043,  4.752,  3.49,  0.10,  7.74 , 66.33, 216.19, -15.98,0.,0.,   0.00,   0.00
349., 780.00,  1.22, -0.40, 49.13, 55.47,  1.043,  4.752,  4.16,  1.22,  7.74 , 67.75, 203.21, -14.96,0.,0.,   0.00,   0.00
349., 840.00,  0.10, -1.17, 51.70, 57.37,  1.044,  4.756,  2.40,  0.65,  7.74 , 71.84, 157.08, -15.76,0.,0.,   0.00,   0.00
349., 900.00, -2.56, -3.24, 55.97, 59.27,  1.045,  4.761, -1.32, -1.54,  7.74 , 78.17,  87.25, -18.11,0.,0.,   0.00,   0.00
349., 960.00, -5.91, -5.99, 60.74, 61.18,  1.046,  4.765, -5.76, -4.61,  7.74 , 86.22,  21.61, -21.26,0.,0.,   0.00,   0.00
349.,1020.00, -7.45, -7.24, 64.25, 63.08,  1.047,  4.769, -7.83, -6.71,  7.74 , 90.00,   0.08, -22.62,0.,0.,   0.00,   0.00
349.,1080.00, -8.11, -7.84, 66.53, 64.98,  1.048,  4.774, -8.60, -7.65,  7.74 , 90.00,   0.00, -23.24,0.,0.,   0.00,   0.00
349.,1140.00, -8.51, -8.34, 67.92, 66.89,  1.049,  4.778, -8.83, -8.22,  7.74 , 90.00,   0.00, -23.74,0.,0.,   0.00,   0.00
349.,1200.00, -9.02, -8.75, 70.47, 68.79,  1.050,  4.783, -9.52, -8.62,  7.74 , 90.00,   0.00, -24.13,0.,0.,   0.00,   0.00
349.,1260.00, -9.53, -9.08, 73.53, 70.69,  1.051,  4.787,-10.34, -8.93,  7.74 , 90.00,   0.00, -24.43,0.,0.,   0.00,   0.00
349.,1320.00, -9.63, -9.35, 74.38, 72.59,  1.052,  4.791,-10.13, -9.27,  7.74 , 90.00,   0.00, -24.67,0.,0.,   0.00,   0.00
349.,1380.00, -9.81, -9.58, 76.06, 74.50,  1.053,  4.796,-10.24, -9.52,  7.74 , 90.00,   0.00, -24.85,0.,0.,   0.00,   0.00
=======
 15.,   0.00,-14.37,-13.42, 81.98, 75.10,  1.076,  4.900,-16.13,-14.64,  7.74 , 90.00,   0.00, -45.43,0.,0.,-208.76,-208.76
 15.,  60.00,-14.43,-13.58, 84.77, 78.43,  1.077,  4.908,-15.98,-14.85,  7.74 , 90.00,   0.00, -45.33,0.,0.,   0.00,   0.00
 15., 120.00,-14.44,-13.71, 87.41, 81.76,  1.079,  4.916,-15.78,-15.04,  7.74 , 90.00,   0.00, -45.20,0.,0.,   0.00,   0.00
 15., 180.00,-14.65,-13.82, 91.88, 85.09,  1.081,  4.924,-16.19,-15.14,  7.74 , 90.00,   0.00, -45.05,0.,0.,   0.00,   0.00
 15., 240.00,-14.69,-13.90, 95.04, 88.42,  1.082,  4.931,-16.14,-15.26,  7.74 , 90.00,   0.00, -44.88,0.,0.,   0.00,   0.00
 15., 300.00,-14.80,-13.98, 98.97, 91.75,  1.084,  4.939,-16.32,-15.33,  7.74 , 90.00,   0.00, -44.69,0.,0.,   0.00,   0.00
 15., 360.00,-14.91,-14.04,100.00, 95.08,  1.086,  4.949,-16.52,-15.39,  7.74 , 90.00,   0.00, -44.49,0.,0.,   0.00,   0.00
 15., 420.00,-14.89,-14.08,100.00, 99.25,  1.087,  4.953,-16.38,-15.46,  7.74 , 90.00,   0.51, -44.22,0.,0.,   0.00,   0.00
 15., 480.00,-14.22,-13.84,100.00, 99.25,  1.084,  4.936,-14.90,-14.70,  7.74 , 84.65,  51.21, -43.84,0.,0.,   0.00,   0.00
 15., 540.00,-11.26,-11.95, 84.19, 89.61,  1.080,  4.919, -9.98,-11.83,  7.74 , 76.45, 172.33, -41.65,0.,0.,   0.00,   0.00
 15., 600.00, -7.06, -9.13, 63.98, 76.72,  1.076,  4.902, -3.25, -7.69,  7.74 , 69.97, 287.84, -38.44,0.,0.,   0.00,   0.00
 15., 660.00, -3.75, -6.20, 41.33, 50.95,  1.072,  4.885,  0.74, -3.63,  7.74 , 65.76, 359.48, -37.22,0.,0.,   0.00,   0.00
 15., 720.00, -1.23, -4.01, 40.34, 50.95,  1.065,  4.851,  3.86, -0.64,  7.74 , 64.30, 386.29, -33.76,0.,0.,   0.00,   0.00
 15., 780.00, -0.52, -3.20, 42.33, 52.96,  1.065,  4.851,  4.39,  0.59,  7.74 , 65.76, 359.48, -32.15,0.,0.,   0.00,   0.00
 15., 840.00, -1.92, -4.01, 46.11, 54.98,  1.066,  4.855,  1.90, -0.32,  7.74 , 69.97, 287.84, -33.11,0.,0.,   0.00,   0.00
 15., 900.00, -5.15, -6.20, 52.07, 56.99,  1.067,  4.860, -3.22, -3.35,  7.74 , 76.45, 172.33, -36.28,0.,0.,   0.00,   0.00
 15., 960.00, -9.27, -9.13, 59.75, 59.00,  1.068,  4.864, -9.53, -7.64,  7.74 , 84.65,  51.21, -40.63,0.,0.,   0.00,   0.00
 15.,1020.00,-11.42,-10.68, 65.17, 61.01,  1.069,  4.869,-12.76,-10.81,  7.74 , 90.00,   0.51, -42.80,0.,0.,   0.00,   0.00
 15.,1080.00,-12.17,-11.34, 67.91, 63.03,  1.070,  4.873,-13.69,-12.19,  7.74 , 90.00,   0.00, -43.57,0.,0.,   0.00,   0.00
 15.,1140.00,-12.73,-11.88, 70.21, 65.04,  1.071,  4.878,-14.28,-12.86,  7.74 , 90.00,   0.00, -44.17,0.,0.,   0.00,   0.00
 15.,1200.00,-13.09,-12.32, 71.87, 67.05,  1.072,  4.882,-14.49,-13.40,  7.74 , 90.00,   0.00, -44.62,0.,0.,   0.00,   0.00
 15.,1260.00,-13.54,-12.68, 74.64, 69.06,  1.073,  4.887,-15.10,-13.80,  7.74 , 90.00,   0.00, -44.95,0.,0.,   0.00,   0.00
 15.,1320.00,-13.85,-12.98, 76.95, 71.08,  1.074,  4.891,-15.45,-14.13,  7.74 , 90.00,   0.00, -45.18,0.,0.,   0.00,   0.00
 15.,1380.00,-14.07,-13.22, 79.01, 73.09,  1.075,  4.896,-15.64,-14.42,  7.74 , 90.00,   0.00, -45.34,0.,0.,   0.00,   0.00
 46.,   0.00,-12.13,-11.32, 79.80, 74.20,  1.054,  4.800,-13.60,-12.11,  7.74 , 90.00,   0.00, -42.20,0.,0.,-478.15,   0.00
 46.,  60.00,-12.23,-11.48, 83.55, 78.06,  1.056,  4.809,-13.61,-12.34,  7.74 , 90.00,   0.00, -42.03,0.,0.,   0.00,   0.00
 46., 120.00,-12.40,-11.60, 88.04, 81.92,  1.057,  4.817,-13.86,-12.50,  7.74 , 90.00,   0.00, -41.83,0.,0.,   0.00,   0.00
 46., 180.00,-12.53,-11.70, 92.47, 85.78,  1.059,  4.826,-14.06,-12.64,  7.74 , 90.00,   0.00, -41.61,0.,0.,   0.00,   0.00
 46., 240.00,-12.57,-11.78, 96.25, 89.64,  1.061,  4.835,-14.01,-12.77,  7.74 , 90.00,   0.00, -41.38,0.,0.,   0.00,   0.00
 46., 300.00,-12.59,-11.85, 99.99, 93.49,  1.064,  4.848,-13.95,-12.87,  7.74 , 90.00,   0.00, -41.13,0.,0.,   0.00,   0.00
 46., 360.00,-12.67,-11.90,100.00, 99.26,  1.066,  4.855,-14.08,-12.94,  7.74 , 90.00,   0.01, -40.72,0.,0.,   0.00,   0.00
 46., 420.00,-12.61,-11.92,100.00, 99.26,  1.063,  4.841,-13.87,-12.79,  7.74 , 87.87,  14.57, -40.75,0.,0.,   0.00,   0.00
 46., 480.00,-10.11,-10.56, 89.95, 93.62,  1.059,  4.826, -9.29,-10.44,  7.74 , 78.23, 138.98, -39.05,0.,0.,   0.00,   0.00
 46., 540.00, -6.14, -8.15, 69.27, 82.50,  1.056,  4.811, -2.47, -5.96,  7.74 , 69.43, 295.23, -36.26,0.,0.,   0.00,   0.00
 46., 600.00, -1.94, -5.26, 53.93, 71.38,  1.053,  4.796,  4.10, -0.83,  7.74 , 62.32, 426.54, -32.86,0.,0.,   0.00,   0.00
 46., 660.00,  1.60, -2.53, 35.46, 49.14,  1.050,  4.782,  9.12,  3.63,  7.74 , 57.61, 510.26, -31.73,0.,0.,   0.00,   0.00
 46., 720.00,  3.91, -0.60, 35.36, 49.14,  1.043,  4.752, 12.09,  6.58,  7.74 , 55.94, 526.89, -28.67,0.,0.,   0.00,   0.00
